"State","Mean_MedIncome","Median_MedIncome","Variance_MedIncome","Std_Dev_MedIncome","Mean_PovertyEst","Median_PovertyEst","Variance_PovertyEst","Std_Dev_PovertyEst","Mean_IncidenceRate","Median_IncidenceRate","Variance_IncidenceRate","Std_Dev_IncidenceRate"
"AK",63487.7777777778,66512.5,140645553.006536,11859.4077848152,4196.44444444444,1550.5,47526344.1437908,6893.93531618849,409.538888888889,416.95,5651.02722222222,75.173314561899
"AL",38562.9850746269,36939,64842274.8331072,8052.47010755751,13517.6119402985,7222,365412728.544098,19115.7717224311,461.979104477612,460,910.900162822252,30.1811226236244
"AR",37577.9466666667,36964,34681400.0781982,5889.09161740571,7199.98666666667,3797,89196865.0403604,9444.4091948814,433.710666666667,430.3,1482.2361009009,38.4998194917963
"AZ",43057.5333333333,44145,62035121.5523809,7876.23777906565,79725.9333333333,27154,30244362389.4952,173909.06356339,354,348.4,1920.24571428571,43.8206083285674
"CA",56102.9122807018,51827,247206840.831454,15722.8127519046,109705.456140351,32542,68936857234.1811,262558.293021152,430.461403508772,431.6,1231.12062656642,35.0873285755188
"CO",52769.0833333333,48604,229346740.043785,15144.1982304705,10541.7333333333,2042,452360838.741243,21268.7761458257,385.911666666667,395.75,2228.99833615819,47.2122689155922
"CT",70415.375,69613,91918747.9821429,9587.42655680568,46910.125,21441.5,1972775340.41071,44415.9356583953,479.8625,487.8,450.245535714286,21.2189899786556
"DC",69992,69992,NA,NA,114790,114790,NA,NA,483.7,483.7,NA,NA
"DE",57406.3333333333,54271,39385700.3333333,6275.80276405603,39344.3333333333,28907,526027686.333333,22935.293465167,502.133333333333,493.3,484.943333333335,22.0214289575707
"FL",44085.4328358209,42768,62674919.8552691,7916.74932376093,48226,17572,7069801816.75758,84082.1135364566,433.194029850746,426.5,11557.0702668476,107.503815126941
"GA",41210.4465408805,37813,120215292.096808,10964.2734413552,11338.2767295597,4606,491236920.100151,22163.8651886387,451.956603773585,462.3,2184.41145927872,46.7376877827596
"HI",62417.75,61899.5,87811226.25,9370.76444320313,39566.25,27850.5,1429574197.58333,37809.7103610082,409.6,410.5,223.14,14.9378713342966
"IA",51707.3535353535,50924,42500946.7410843,6519.27501652479,3723.9797979798,1586,50513178.5097918,7107.26237800405,467.622222222222,469.7,935.050113378685,30.5785891332266
"ID",45676.5,45135.5,34952783.5731707,5912.08791994594,5650.47619047619,2435,88576988.4506388,9411.53486157485,429.757142857143,433.65,2551.02299651568,50.5076528509857
"IL",50952.5,49628,105389015.559406,10265.9152324284,17669.9705882353,3189,7698513794.60309,87741.175024062,483.15,486.4,938.662722772277,30.6376030846455
"IN",49449.347826087,47638,64371079.6139513,8023.15895479775,10526.4456521739,4282.5,532673363.304706,23079.7175741972,454.582608695652,452.5,827.83485905399,28.7721194744841
"KS",48843.4095238095,47723,48281386.4941392,6948.48087671969,3633.4,851,86100122.4923077,9279.01516823352,453.55,453.55,0,0
